統計期,農、林、漁、牧業 ,礦業及土石採取業 ,製造業 ,電力及燃氣供應業 ,用水供應及污染整治業 ,營造業 ,批發及零售業 ,運輸及倉儲業 ,住宿及餐飲業 ,資訊及通訊傳播業 ,金融及保險業 ,不動產業 ,專業、科學及技術服務業 ,支援服務業 ,公共行政及國防；強制性社會安全 ,教育服務業 ,醫療保健及社會工作服務業 ,藝術、娛樂及休閒服務業 ,其他服務業 ,
90,706,10,2594,28,54,745,1679,421,532,190,373,40,202,153,315,484,268,93,496,
91,709,9,2572,28,55,724,1693,407,579,191,380,41,220,158,316,488,281,107,496,
92,696,9,2600,29,59,701,1698,414,590,187,378,44,224,180,352,514,292,110,497,
93,642,7,2681,29,64,732,1726,419,605,195,390,55,234,183,357,538,303,114,510,
94,590,7,2732,28,61,791,1726,412,634,199,406,61,258,194,336,556,323,116,513,
95,554,7,2777,28,60,829,1759,417,665,209,407,66,264,205,334,563,334,111,524,
96,543,6,2842,28,65,846,1782,415,681,206,404,74,301,215,332,588,340,101,523,
97,535,6,2886,28,71,842,1770,414,687,203,411,74,317,231,343,605,355,98,528,
98,543,5,2790,29,73,788,1735,402,693,207,413,68,315,232,382,613,368,96,527,
99,550,4,2861,29,78,797,1747,404,727,208,428,75,325,236,389,619,386,98,532,
100,542,4,2949,29,79,831,1763,411,728,218,428,87,339,247,388,629,408,94,536,
101,544,4,2975,29,82,845,1800,414,750,228,426,90,342,260,384,630,420,95,541,
102,544,4,2988,29,84,861,1817,425,775,234,422,92,347,263,383,634,427,96,541,
103,548,4,3007,29,82,881,1825,433,792,241,416,98,354,273,378,645,432,95,543,
104,555,4,3024,30,82,895,1842,437,813,246,420,100,362,281,375,650,438,99,546,
105,557,4,3028,30,82,899,1853,440,826,249,424,100,368,286,374,652,444,103,547,
106,557,4,3045,30,82,901,1875,443,832,253,429,103,372,292,373,652,451,106,551,
107,561,4,3064,30,81,904,1901,446,838,258,432,106,374,296,367,653,456,110,554,
108,559,4,3066,31,84,907,1915,450,848,262,434,108,377,297,368,657,461,115,557,
109,548,4,3041,32,85,915,1899,455,854,266,434,106,382,298,374,657,474,117,563,
110,542,4,3020,33,84,918,1878,460,839,266,433,106,388,295,378,645,488,113,558,
111,530,3,3012,33,84,910,1850,475,843,270,430,104,390,295,373,638,505,114,559,
112,509,3,3001,33,85,921,1831,495,877,278,434,104,403,315,376,637,529,124,571,
113,494,4,2992,34,87,929,1825,503,897,286,435,105,408,324,375,635,547,125,573,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,單位：千人
