,"瓣チ┮眔参璸盽ノ戈(糤瞯)"
,,,""
"参璸戳","戳い()","糤瞯(%)","瓣チ┮眔を肂GNI(ヘκ窾じ)","糤瞯(%)",
"40","7,758,202","-","12,320","-",
"41","8,046,915","3.72","17,271","40.19",
"42","8,333,009","3.56","23,032","33.36",
"43","8,645,264","3.75","25,311","9.89",
"44","8,967,001","3.72","30,160","19.16",
"45","9,289,545","3.60","34,665","14.94",
"46","9,597,690","3.32","40,494","16.82",
"47","9,920,227","3.36","45,317","11.91",
"48","10,288,327","3.71","52,367","15.56",
"49","10,667,705","3.69","63,367","21.01",
"50","11,030,385","3.40","71,039","12.11",
"51","11,392,513","3.28","78,295","10.21",
"52","11,762,101","3.24","88,619","13.19",
"53","12,137,143","3.19","103,681","17.00",
"54","12,511,863","3.09","114,568","10.50",
"55","12,874,153","2.90","128,175","11.88",
"56","13,210,344","2.61","148,025","15.49",
"57","13,548,537","2.56","172,550","16.57",
"58","14,068,984","3.84","200,441","16.16",
"59","14,582,944","3.65","230,985","15.24",
"60","14,913,564","2.27","268,962","16.44",
"61","15,220,495","2.06","322,572","19.93",
"62","15,505,121","1.87","418,344","29.69",
"63","15,784,817","1.80","559,908","33.84",
"64","16,075,128","1.84","598,434","6.88",
"65","16,401,413","2.03","716,513","19.73",
"66","16,730,895","2.01","840,468","17.30",
"67","17,042,272","1.86","1,009,091","20.06",
"68","17,372,779","1.94","1,219,896","20.89",
"69","17,704,538","1.91","1,520,389","24.63",
"70","18,029,982","1.84","1,794,778","18.05",
"71","18,354,855","1.80","1,937,341","7.94",
"72","18,653,146","1.63","2,172,702","12.15",
"73","18,929,866","1.48","2,448,215","12.68",
"74","19,191,510","1.38","2,582,170","5.47",
"75","19,411,454","1.15","3,042,373","17.82",
"76","19,617,046","1.06","3,418,256","12.35",
"77","19,839,704","1.14","3,713,008","8.62",
"78","20,055,492","1.09","4,133,153","11.32",
"79","20,278,946","1.11","4,591,514","11.09",
"80","20,503,568","1.11","5,153,461","12.24",
"81","20,704,227","0.98","5,729,967","11.19",
"82","20,899,019","0.94","6,313,988","10.19",
"83","21,086,645","0.90","6,886,649","9.07",
"84","21,267,653","0.86","7,501,637","8.93",
"85","21,441,432","0.82","8,140,368","8.51",
"86","21,634,124","0.90","8,793,900","8.03",
"87","21,835,703","0.93","9,433,416","7.27",
"88","22,010,489","0.80","9,893,116","4.87",
"89","22,184,530","0.79","10,465,202","5.78",
"90","22,341,120","0.71","10,308,613","-1.50",
"91","22,463,172","0.55","10,867,017","5.42",
"92","22,562,663","0.44","11,246,157","3.49",
"93","22,646,836","0.37","11,959,648","6.34",
"94","22,729,753","0.37","12,321,781","3.03",
"95","22,823,455","0.41","12,878,527","4.52",
"96","22,917,444","0.41","13,689,358","6.30",
"97","22,997,696","0.35","13,420,912","-1.96",
"98","23,078,402","0.35","13,321,803","-0.74",
"99","23,140,948","0.27","14,476,060","8.66",
"100","23,193,518","0.23","14,634,307","1.09",
"101","23,270,367","0.33","15,109,951","3.25",
"102","23,344,670","0.32","15,673,232","3.73",
"103","23,403,635","0.25","16,697,152","6.53",
"104","23,462,914","0.25","17,494,741","4.78",
"105","23,515,945","0.23","18,006,409","2.92",
"106","23,555,522","0.17","18,430,708","2.36",
"107","23,580,080","0.10","18,789,823","1.95",
"108","23,596,027","0.07","19,384,783","3.17",
"109","23,582,179","-0.06","20,486,586","5.68",
"110","23,468,275","-0.48","22,231,360","8.52",
"111","23,319,977","-0.63","23,374,561","5.14",
"112","23,342,541","0.10","24,252,764","3.76",

爹秆
 1.2023˙参璸计
 2.2023Q3タ计2023Q4˙参璸计
 
   
