,"消費者物價基本分類指數(年增率)"
,,,,,,,,,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","年增率(%)","一.食物類","年增率(%)","二.衣著類","年增率(%)","三.居住類","年增率(%)","四.交通及通訊類","年增率(%)","五.醫藥保健類","年增率(%)","六.教養娛樂類","年增率(%)","七.雜項類","年增率(%)",
"70年","54.70","-","40.44","-","88.94","-","61.88","-","84.67","-","46.86","-","40.06","-","55.91","-",
"71年","56.32","2.96","42.11","4.13","90.51","1.77","63.47","2.57","85.00","0.39","47.34","1.02","42.17","5.27","55.85","-0.11",
"72年","57.09","1.37","42.68","1.35","91.08","0.63","64.71","1.95","84.41","-0.69","47.32","-0.04","43.52","3.20","56.33","0.86",
"73年","57.07","-0.04","41.72","-2.25","92.79","1.88","65.21","0.77","85.59","1.40","48.91","3.36","44.68","2.67","56.79","0.82",
"74年","56.98","-0.16","40.86","-2.06","92.28","-0.55","65.40","0.29","86.25","0.77","50.56","3.37","46.58","4.25","56.61","-0.32",
"75年","57.38","0.70","41.80","2.30","89.15","-3.39","65.25","-0.23","83.12","-3.63","50.76","0.40","48.24","3.56","56.44","-0.30",
"76年","57.67","0.51","42.30","1.20","87.18","-2.21","65.51","0.40","81.77","-1.62","51.32","1.10","49.17","1.93","56.52","0.14",
"77年","58.41","1.28","42.90","1.42","89.43","2.58","65.91","0.61","80.81","-1.17","51.04","-0.55","52.01","5.78","56.78","0.46",
"78年","60.99","4.42","45.58","6.25","89.91","0.54","68.77","4.34","81.87","1.31","53.14","4.11","54.31","4.42","58.13","2.38",
"79年","63.51","4.13","47.19","3.53","90.07","0.18","72.65","5.64","83.88","2.46","54.82","3.16","58.49","7.70","59.58","2.49",
"80年","65.81","3.62","47.68","1.04","90.22","0.17","76.86","5.79","88.98","6.08","56.83","3.67","63.19","8.04","61.07","2.50",
"81年","68.75","4.47","51.66","8.35","91.69","1.63","79.54","3.49","87.96","-1.15","59.95","5.49","67.01","6.05","62.12","1.72",
"82年","70.77","2.94","53.25","3.08","88.48","-3.50","82.48","3.70","88.45","0.56","60.80","1.42","71.62","6.88","64.39","3.65",
"83年","73.67","4.10","56.68","6.44","87.76","-0.81","85.91","4.16","88.66","0.24","61.94","1.88","75.82","5.86","66.19","2.80",
"84年","76.37","3.66","59.12","4.30","90.99","3.68","88.92","3.50","90.77","2.38","62.92","1.58","79.55","4.92","68.27","3.14",
"85年","78.72","3.08","61.38","3.82","93.21","2.44","90.78","2.09","91.83","1.17","63.99","1.70","85.37","7.32","69.21","1.38",
"86年","79.43","0.90","60.95","-0.70","94.19","1.05","91.78","1.10","92.84","1.10","65.50","2.36","88.47","3.63","70.06","1.23",
"87年","80.77","1.69","63.63","4.40","88.99","-5.52","92.80","1.11","91.93","-0.98","66.09","0.90","91.33","3.23","71.15","1.56",
"88年","80.91","0.17","63.17","-0.72","87.96","-1.16","92.87","0.08","91.24","-0.75","68.59","3.78","93.24","2.09","71.97","1.15",
"89年","81.92","1.25","63.42","0.40","88.43","0.53","93.24","0.40","94.18","3.22","71.41","4.11","96.06","3.02","72.64","0.93",
"90年","81.92","0.00","62.85","-0.90","86.91","-1.72","92.76","-0.51","95.22","1.10","72.30","1.25","98.10","2.12","72.82","0.25",
"91年","81.76","-0.20","62.74","-0.18","87.39","0.55","91.65","-1.20","93.11","-2.22","73.24","1.30","98.20","0.10","76.04","4.42",
"92年","81.53","-0.28","62.69","-0.08","88.42","1.18","90.76","-0.97","93.71","0.64","75.59","3.21","96.93","-1.29","75.66","-0.50",
"93年","82.84","1.61","65.34","4.23","91.20","3.14","90.57","-0.21","95.70","2.12","77.06","1.94","97.04","0.11","76.46","1.06",
"94年","84.75","2.31","70.07","7.24","91.08","-0.13","90.94","0.41","96.95","1.31","80.54","4.52","96.82","-0.23","76.27","-0.25",
"95年","85.26","0.60","69.63","-0.63","87.82","-3.58","91.74","0.88","98.65","1.75","83.51","3.69","96.98","0.17","79.14","3.76",
"96年","86.79","1.79","71.61","2.84","90.24","2.76","92.64","0.98","100.41","1.78","87.17","4.38","97.57","0.61","80.45","1.66",
"97年","89.86","3.54","77.73","8.55","91.14","1.00","94.06","1.53","102.79","2.37","89.24","2.37","98.85","1.31","81.65","1.49",
"98年","89.07","-0.88","77.39","-0.44","90.49","-0.71","93.75","-0.33","98.68","-4.00","89.76","0.58","97.09","-1.78","83.59","2.38",
"99年","89.93","0.97","77.87","0.62","92.02","1.69","94.18","0.46","101.51","2.87","90.32","0.62","97.04","-0.05","85.79","2.63",
"100年","91.21","1.42","79.63","2.26","94.66","2.87","94.99","0.86","102.97","1.44","92.14","2.02","97.55","0.53","86.88","1.27",
"101年","92.97","1.93","82.94","4.16","97.04","2.51","96.09","1.16","103.42","0.44","92.82","0.74","98.21","0.68","88.75","2.15",
"102年","93.71","0.80","83.99","1.27","96.86","-0.19","96.96","0.91","103.88","0.44","93.78","1.03","98.53","0.33","89.20","0.51",
"103年","94.83","1.20","87.14","3.75","98.10","1.28","97.82","0.89","102.64","-1.19","94.39","0.65","98.46","-0.07","90.38","1.32",
"104年","94.54","-0.31","89.86","3.12","97.55","-0.56","96.71","-1.13","96.65","-5.84","94.67","0.30","98.44","-0.02","90.63","0.28",
"105年","95.86","1.40","94.56","5.23","97.75","0.21","96.48","-0.24","95.57","-1.12","95.49","0.87","98.53","0.09","91.89","1.39",
"106年","96.45","0.62","94.21","-0.37","97.51","-0.25","97.31","0.86","97.31","1.82","97.12","1.71","98.82","0.29","93.64","1.90",
"107年","97.76","1.36","95.15","1.00","97.79","0.29","98.20","0.91","99.51","2.26","98.15","1.06","99.04","0.22","98.08","4.74",
"108年","98.30","0.55","96.96","1.90","97.08","-0.73","98.81","0.62","98.07","-1.45","98.98","0.85","99.78","0.75","98.65","0.58",
"109年","98.07","-0.23","97.61","0.67","98.26","1.22","99.09","0.28","94.27","-3.87","99.77","0.80","98.81","-0.97","99.61","0.97",
"110年","100.00","1.97","100.00","2.45","100.00","1.77","100.00","0.92","100.00","6.08","100.00","0.23","100.00","1.20","100.00","0.39",
"111年","102.95","2.95","105.66","5.66","102.38","2.38","102.26","2.26","103.46","3.46","101.22","1.22","101.18","1.18","101.37","1.37",
"112年","105.51","2.49","109.92","4.03","103.23","0.83","104.35","2.04","104.26","0.77","103.44","2.19","104.33","3.11","103.84","2.44",

註解：
 由於受查者延誤或更正報價，最近3個月資料均可能修正。
 
  
