,参璸兜ヘ琩高,,,,,
,,,,,,虫
参璸戳,ネ计() ,ネ瞯,╧┦ネ计() ,┦ネ计() ,计() ,瞯
80,321932,15.7,168865,153067,106284,5.18
81,321632,15.53,168488,153144,110516,5.34
82,325613,15.58,169486,156127,110901,5.31
83,322938,15.31,168444,154494,113866,5.4
84,329581,15.5,171118,158463,119112,5.6
85,325545,15.18,169484,156061,122489,5.71
86,326002,15.07,170047,155955,121000,5.59
87,271450,12.43,141462,129988,123180,5.64
88,283661,12.89,148042,135619,126113,5.73
89,305312,13.76,159726,145586,125958,5.68
90,260354,11.65,135596,124758,127647,5.71
91,247530,11.02,129537,117993,128636,5.73
92,227070,10.06,118984,108086,130801,5.8
93,216419,9.56,113639,102780,135092,5.97
94,205854,9.06,107378,98476,139398,6.13
95,204459,8.96,106936,97523,135839,5.95
96,204414,8.92,106898,97516,141111,6.16
97,198733,8.64,103937,94796,143624,6.25
98,191310,8.29,99492,91818,143582,6.22
99,166886,7.21,87213,79673,145772,6.3
100,196627,8.48,101943,94684,152915,6.59
101,229481,9.86,118848,110633,154251,6.63
102,199113,8.53,103120,95993,155908,6.68
103,210383,8.99,108817,101566,163929,7
104,213598,9.1,111041,102557,163858,6.98
105,208440,8.86,108133,100307,172405,7.33
106,193844,8.23,100477,93367,171242,7.27
107,181601,7.7,93876,87725,172784,7.33
108,177767,7.53,92237,85530,176296,7.47
109,165249,7.01,85704,79545,173156,7.34
110,153820,6.55,79513,74307,183732,7.83
111,138986,5.96,72097,66889,207230,8.89
112,135571,5.81,70227,65344,205368,8.8
