"統計期","農、林、漁、牧業","工業","服務業"
"92年平均",696,3398,5480
"93年平均",642,3514,5631
"94年平均",590,3619,5733
"95年平均",554,3700,5857
"96年平均",543,3788,5962
"97年平均",535,3832,6036
"98年平均",543,3684,6051
"99年平均",550,3769,6174
"100年平均",542,3892,6275
"101年平均",544,3935,6381
"102年平均",544,3965,6458
"103年平均",548,4004,6526
"104年平均",555,4035,6609
"105年平均",557,4043,6667
"106年平均",557,4063,6732
"107年平均",561,4083,6790
"108年平均",559,4092,6849
"109年平均",548,4076,6879
"110年平均",542,4059,6847
"111年平均",530,4042,6846
"112年平均",509,4044,6974


"說明：90年至100年按行業統計分類第八次修訂,101年至105年按第九次修訂,106年至110年按第十次修訂,"
"　　　111年起按第十一次修訂。"
