,"國民所得、儲蓄與投資(年增率)"
,,,,,""
"統計期","平減指數(2016年=100)",,,,,,
,"3.1國民消費","年增率(%)","3.3國民儲蓄毛額:2.1+3.2","年增率(%)","3.5國內投資毛額","年增率(%)",
"40年","6.58","-","7.53","-","2.53","-",
"41年","7.95","20.82","10.36","37.58","3.35","32.41",
"42年","9.74","22.52","12.40","19.69","3.95","17.91",
"43年","9.79","0.51","14.12","13.87","4.18","5.82",
"44年","10.78","10.11","15.42","9.21","4.82","15.31",
"45年","11.80","9.46","16.78","8.82","5.39","11.83",
"46年","12.59","6.69","19.56","16.57","6.44","19.48",
"47年","13.16","4.53","20.99","7.31","6.62","2.80",
"48年","14.25","8.28","21.38","1.86","7.07","6.80",
"49年","16.06","12.70","24.46","14.41","7.75","9.62",
"50年","16.32","1.62","29.17","19.26","9.38","21.03",
"51年","16.71","2.39","26.82","-8.06","8.37","-10.77",
"52年","16.72","0.06","27.12","1.12","8.62","2.99",
"53年","16.80","0.48","29.65","9.33","9.97","15.66",
"54年","16.81","0.06","31.52","6.31","11.49","15.25",
"55年","17.22","2.44","30.42","-3.49","11.37","-1.04",
"56年","17.76","3.14","32.36","6.38","12.03","5.80",
"57年","18.74","5.52","33.45","3.37","12.79","6.32",
"58年","19.57","4.43","34.63","3.53","13.64","6.65",
"59年","20.13","2.86","35.48","2.45","14.85","8.87",
"60年","20.47","1.69","36.28","2.25","16.22","9.23",
"61年","21.08","2.98","39.77","9.62","18.66","15.04",
"62年","23.57","11.81","48.26","21.35","24.46","31.08",
"63年","32.41","37.51","61.66","27.77","32.56","33.12",
"64年","34.61","6.79","54.17","-12.15","28.24","-13.27",
"65年","34.74","0.38","58.19","7.42","31.90","12.96",
"66年","37.35","7.51","59.88","2.90","32.28","1.19",
"67年","39.47","5.68","65.63","9.60","37.34","15.68",
"68年","43.96","11.38","70.91","8.05","41.01","9.83",
"69年","52.88","20.29","80.56","13.61","47.74","16.41",
"70年","60.42","14.26","83.24","3.33","50.99","6.81",
"71年","62.32","3.14","87.65","5.30","50.13","-1.69",
"72年","63.15","1.33","89.21","1.78","53.33","6.38",
"73年","63.57","0.67","91.11","2.13","56.03","5.06",
"74年","64.01","0.69","92.73","1.78","54.68","-2.41",
"75年","64.47","0.72","96.28","3.83","59.41","8.65",
"76年","65.18","1.10","92.16","-4.28","62.13","4.58",
"77年","66.31","1.73","89.91","-2.44","64.04","3.07",
"78年","68.78","3.72","89.46","-0.50","62.50","-2.40",
"79年","71.35","3.74","95.33","6.56","67.94","8.70",
"80年","74.34","4.19","94.91","-0.44","68.94","1.47",
"81年","76.86","3.39","98.15","3.41","73.94","7.25",
"82年","79.02","2.81","103.23","5.18","77.85","5.29",
"83年","81.70","3.39","104.01","0.76","77.15","-0.90",
"84年","84.05","2.88","107.45","3.31","81.20","5.25",
"85年","86.38","2.77","104.81","-2.46","78.94","-2.78",
"86年","87.83","1.68","104.02","-0.75","79.80","1.09",
"87年","89.08","1.42","107.20","3.06","82.09","2.87",
"88年","89.57","0.55","104.47","-2.55","81.62","-0.57",
"89年","90.18","0.68","101.81","-2.55","82.84","1.49",
"90年","90.28","0.11","105.17","3.30","80.54","-2.78",
"91年","90.41","0.14","104.54","-0.60","81.68","1.42",
"92年","90.43","0.02","105.13","0.56","83.31","2.00",
"93年","91.41","1.08","106.93","1.71","88.55","6.29",
"94年","92.60","1.30","105.21","-1.61","87.66","-1.01",
"95年","93.35","0.81","107.06","1.76","90.36","3.08",
"96年","94.51","1.24","104.19","-2.68","93.53","3.51",
"97年","96.75","2.37","106.75","2.46","99.56","6.45",
"98年","95.87","-0.91","102.21","-4.25","98.87","-0.69",
"99年","96.61","0.77","104.99","2.72","99.70","0.84",
"100年","97.50","0.92","103.72","-1.21","101.25","1.55",
"101年","98.77","1.30","100.04","-3.55","101.93","0.67",
"102年","99.03","0.26","101.65","1.61","100.42","-1.48",
"103年","99.68","0.66","102.37","0.71","100.80","0.38",
"104年","99.19","-0.49","99.71","-2.60","99.29","-1.50",
"105年","100.00","0.82","100.00","0.29","100.00","0.72",
"106年","100.11","0.11","99.16","-0.84","100.07","0.07",
"107年","101.19","1.08","100.10","0.95","101.38","1.31",
"108年","101.77","0.57","99.98","-0.12","104.07","2.65",
"109年","101.90","0.13","97.05","-2.93","104.10","0.03",
"110年","103.50","1.57","103.82","6.98","108.95","4.66",
"111年","106.35","2.75","108.66","4.66","111.84","2.65",
"112年","108.35","1.88","108.59","-0.06","114.15","2.07",

註解：
 1.2023年為初步統計數。
 2.2023Q3為修正數，2023Q4為初步統計數。
 
   
